url,category,success,endpointCount,error,durationMs,timestamp,siteId,pathId,fromGallery
https://api.open-meteo.com,weather,true,4,,5647,2026-02-16T21:48:21.955Z,site_mlpphhwj_2odgxh1m,path_mlpphhwj_hdj7y2ee,true
https://api.sunrise-sunset.org,weather,false,0,Navigate to https://api.sunrise-sunset.org failed: TimeoutError: Navigation timeout of 30000 ms exceeded,31634,2026-02-16T21:48:59.591Z,,,false
https://restcountries.com,reference,true,1,,4211,2026-02-16T21:49:09.804Z,site_mlppij4q_5ok7ahbz,path_mlppij4q_a6p5tlc3,true
https://universities.hipolabs.com,reference,false,0,Navigate to https://universities.hipolabs.com failed: TimeoutError: Navigation timeout of 30000 ms exceeded,31628,2026-02-16T21:49:47.432Z,,,false
https://world.openfoodfacts.org,reference,false,0,Navigate to https://world.openfoodfacts.org failed: TimeoutError: Navigation timeout of 30000 ms exceeded,31652,2026-02-16T21:50:25.086Z,,,false
https://api.coingecko.com,finance,true,8,,4002,2026-02-16T21:50:35.088Z,site_mlppkc3a_hcztyf8g,path_mlppkc3a_sf6zf2h3,true
https://api.frankfurter.app,finance,true,1,,3275,2026-02-16T21:50:44.364Z,site_mlppkk2u_lme0lxa8,path_mlppkk2u_hyf1kcg4,true
https://pokeapi.co,entertainment,true,10,,4191,2026-02-16T21:50:54.555Z,site_mlppkr4k_ekaxe1dg,path_mlppkr4k_5d2pz6kc,true
https://rickandmortyapi.com,entertainment,true,6,,4317,2026-02-16T21:51:04.872Z,site_mlppkz72_zpmt7zed,path_mlppkz72_ogsn0oj9,true
https://swapi.dev,entertainment,true,4,,3665,2026-02-16T21:51:14.537Z,site_mlppl72v_qkcq82h2,path_mlppl72v_wo0euwfm,true
https://api.tvmaze.com,entertainment,true,5,,7121,2026-02-16T21:51:27.660Z,site_mlppldod_e80nyj9o,path_mlpplgvt_4wnzldo6,false
https://openlibrary.org,entertainment,true,3,,9194,2026-02-16T21:51:42.855Z,site_mlpplov4_36i3cjcl,path_mlpplssc_uajdxtju,false
